Sflow,Level,Mflow
0.01001,0.35,0.02751
0.01001,0.32111,-0.81381
0.01001,0.18794,-0.9222
0.01001,0.09792,1.0128
0.01001,0.10325,0.20402
0.01001,0.12773,-0.86786
0.01001,0.14619,0.26122
0.01001,0.24433,0.32462
0.01001,0.30686,-1.5041
0.01001,0.29492,-0.52778
0.01001,0.26907,-0.53309
0.01001,0.24284,-0.54878
0.01001,0.24195,3.7695
0.01001,0.31039,-0.4756
0.01001,0.28835,-0.48348
0.01001,0.26609,-0.45697
0.01001,0.24346,-0.4281
0.01001,0.30591,-0.0352
0.01001,0.28578,-0.46176
0.01001,0.26465,-0.43464
0.01001,0.24347,4.4226
0.02001,0.35,0.02751
0.02001,0.3437,-0.55211
0.02001,0.33386,-0.22932
0.02001,0.32553,-0.186
0.02001,0.31784,-0.15981
0.02001,0.31016,-0.15443
0.02001,0.30196,-0.15472
0.02001,0.33892,0.97259
0.02001,0.34307,-0.15197
0.02001,0.33554,-0.14412
0.02001,0.3279,-0.14327
0.02001,0.32028,-0.1426
0.02001,0.31265,-0.14435
0.02001,0.3048,-0.14824
0.02001,0.3348,1.132
0.02001,0.33266,-0.14129
0.02001,0.32519,-0.13869
0.02001,0.31777,-0.1387
0.02001,0.31027,-0.14335
0.02001,0.30201,-0.26415
0.02001,0.33305,-0.15396
0.03002,0.35,0.02751
0.03002,0.34701,-0.10631
0.03002,0.34178,-0.10171
0.03002,0.33673,-0.08855
0.03002,0.33197,-0.08344
0.03002,0.32726,-0.08247
0.03002,0.3225,-0.08173
0.03002,0.31771,-0.08152
0.03002,0.31291,-0.08151
0.03002,0.33648,0.56243
0.03002,0.34481,-0.01494
0.03002,0.34333,-0.01002
0.03002,0.34175,-0.00974
0.03002,0.34015,-0.00957
0.03002,0.33843,-0.00941
0.03002,0.33672,-0.00926
0.03002,0.335,-0.00912
0.03002,0.33328,-0.00899
0.03002,0.33156,-0.00887
0.03002,0.32984,-0.00877
0.03002,0.32812,-0.00869
0.04002,0.35,0.02751
0.04002,0.34902,-0.04652
0.04002,0.34612,-0.04808
0.04002,0.34293,-0.04264
0.04002,0.33989,-0.03595
0.04002,0.33699,-0.03456
0.04002,0.33397,-0.03423
0.04002,0.3309,-0.03392
0.04002,0.3278,-0.03359
0.04002,0.32465,-0.03316
0.04002,0.35288,0.2853
0.04002,0.35316,0.03971
0.04002,0.35207,-0.01876
0.04002,0.34921,-0.01982
0.04002,0.34634,-0.02015
0.04002,0.34339,-0.02036
0.04002,0.34043,-0.0205
0.04002,0.33746,-0.0206
0.04002,0.3345,-0.02064
0.04002,0.33153,-0.0207
0.04002,0.32856,-0.0207
0.05003,0.35,0.02751
0.05003,0.35214,0.05
0.05003,0.35329,0.05
0.05003,0.35437,0.05
0.05003,0.35534,0.05
0.05003,0.35615,0.04997
0.05003,0.35674,0.04975
0.05003,0.35693,0.04975
0.05003,0.35694,0.04987
0.05003,0.35695,0.04975
0.05003,0.35696,0.04974
0.05003,0.35696,0.04988
0.05003,0.35697,0.04974
0.05003,0.35698,0.04989
0.05003,0.35699,0.0498
0.05003,0.357,0.04974
0.05003,0.35701,0.04975
0.05003,0.35702,0.04974
0.05003,0.35703,0.04977
0.05003,0.35704,0.04982
0.05003,0.35704,0.04974
0.06003,0.35,0.02751
0.06003,0.35272,0.06
0.06003,0.35435,0.06
0.06003,0.35576,0.06
0.06003,0.35666,0.06
0.06003,0.35679,0.06
0.06003,0.3568,0.05851
0.06003,0.35681,0.05974
0.06003,0.35682,0.05969
0.06003,0.35683,0.0597
0.06003,0.35684,0.05978
0.06003,0.35685,0.05969
0.06003,0.35686,0.05975
0.06003,0.35687,0.05968
0.06003,0.35688,0.05976
0.06003,0.35689,0.0597
0.06003,0.3569,0.05969
0.06003,0.35691,0.05971
0.06003,0.35692,0.05968
0.06003,0.35693,0.05968
0.06003,0.35694,0.05969
0.01001,0.7,0.02751
0.01001,0.64154,-2.5298
0.01001,0.5995,-3.8861
0.01001,0.42659,1.6791
0.01001,0.43185,-0.45974
0.01001,0.43894,-0.59132
0.01001,0.4537,-0.06239
0.01001,0.45993,0.15767
0.01001,0.49562,0.8605
0.01001,0.57746,4.3553
0.01001,0.64147,2.648
0.01001,0.64023,-0.06902
0.01001,0.62517,-0.78715
0.01001,0.58878,-0.86373
0.01001,0.54659,-0.96494
0.01001,0.5813,1.8443
0.01001,0.63826,-0.4524
0.01001,0.62293,-0.58083
0.01001,0.60411,-0.62851
0.01001,0.57606,-0.67708
0.01001,0.62078,1.0713
0.02001,0.7,0.02751
0.02001,0.6624,-0.23831
0.02001,0.65241,-0.2312
0.02001,0.64395,-0.22726
0.02001,0.63768,-0.21916
0.02001,0.62993,-0.20956
0.02001,0.64875,-0.19769
0.02001,0.642,-0.17146
0.02001,0.63627,-0.17143
0.02001,0.63092,-0.25387
0.02001,0.66062,-0.15022
0.02001,0.65506,-0.15505
0.02001,0.64252,-0.15364
0.02001,0.63714,-0.15329
0.02001,0.63157,-0.15917
0.02001,0.62047,-0.16836
0.02001,0.64959,-0.15738
0.02001,0.64441,-0.1507
0.02001,0.63903,-0.14989
0.02001,0.6336,-0.15357
0.02001,0.62795,-0.15264
0.03002,0.7,0.02751
0.03002,0.66217,-0.03821
0.03002,0.66272,0.00173
0.03002,0.66331,-0.2059
0.03002,0.66331,0.0015
0.03002,0.66158,-0.03419
0.03002,0.65767,-0.0109
0.03002,0.64234,-0.01081
0.03002,0.6409,-0.01063
0.03002,0.63947,-0.01051
0.03002,0.63805,-0.01039
0.03002,0.63676,-0.0103
0.03002,0.63568,-0.0102
0.03002,0.63483,-0.01011
0.03002,0.63436,-0.01001
0.03002,0.63415,-0.00988
0.03002,0.62982,-0.00964
0.03002,0.62799,-0.00978
0.03002,0.62676,-0.00997
0.03002,0.62551,-0.0102
0.03002,0.62435,-0.01043
0.04002,0.7,0.02751
0.04002,0.64379,-0.0318
0.04002,0.6385,0.02243
0.04002,0.64034,-0.09652
0.04002,0.63849,0.03722
0.04002,0.63448,-0.01193
0.04002,0.63804,0.0294
0.04002,0.6424,-0.0094
0.04002,0.64383,-0.0183
0.04002,0.642,0.04472
0.04002,0.63881,0.04215
0.04002,0.64355,-0.00195
0.04002,0.64391,0.03979
0.04002,0.6417,-0.03708
0.04002,0.63859,-0.03123
0.04002,0.63264,-0.02658
0.04002,0.6306,-0.02675
0.04002,0.62888,-0.02695
0.04002,0.62747,-0.02709
0.04002,0.6237,-0.02709
0.04002,0.62149,-0.02716
0.05003,0.7,0.02751
0.05003,0.64687,-0.04716
0.05003,0.64342,0.10316
0.05003,0.64714,0.03318
0.05003,0.63893,-0.03742
0.05003,0.63397,-0.04137
0.05003,0.62806,-0.03333
0.05003,0.61993,-0.02017
0.05003,0.61725,-0.01905
0.05003,0.6143,-0.019
0.05003,0.61229,-0.01905
0.05003,0.60789,-0.01898
0.05003,0.63274,0.03637
0.05003,0.62814,0.04978
0.05003,0.62397,-0.0114
0.05003,0.62197,-0.01262
0.05003,0.61986,-0.01301
0.05003,0.61776,-0.01327
0.05003,0.61565,-0.01345
0.05003,0.61354,-0.01357
0.05003,0.61144,-0.01364
0.06003,0.7,0.02751
0.06003,0.63491,0.02968
0.06003,0.63631,0.01332
0.06003,0.63335,0.01224
0.06003,0.63396,0.05514
0.06003,0.63231,0.06032
0.06003,0.62473,0.05987
0.06003,0.62157,0.05977
0.06003,0.62068,0.05976
0.06003,0.62068,0.05977
0.06003,0.62069,0.05977
0.06003,0.6207,0.05977
0.06003,0.62071,0.05977
0.06003,0.62072,0.05975
0.06003,0.62073,0.05976
0.06003,0.62074,0.05994
0.06003,0.62075,0.05976
0.06003,0.62075,0.05977
0.06003,0.62076,0.05977
0.06003,0.62077,0.05975
0.06003,0.62078,0.05976
0.01001,1.0035,0.02751
0.01001,0.93363,-6.27
0.01001,0.80729,-0.42014
0.01001,0.80459,-0.79509
0.01001,0.80807,0.45745
0.01001,0.82669,-0.19784
0.01001,0.83333,1.2081
0.01001,0.83346,-0.11411
0.01001,0.83869,1.0452
0.01001,0.86016,-1.1605
0.01001,0.96507,1.3521
0.01001,0.96317,-0.83009
0.01001,0.82475,0.86401
0.01001,0.838,-0.35555
0.01001,0.83941,0.08839
0.01001,0.85914,0.28799
0.01001,0.90892,4.6265
0.01001,0.96661,-0.32898
0.01001,0.94687,-0.73074
0.01001,0.92074,-0.89684
0.01001,0.89122,-0.9515
0.02001,1.0035,0.02751
0.02001,0.9654,-0.41094
0.02001,0.95014,-0.41488
0.02001,0.9369,-0.35898
0.02001,0.92212,-0.29717
0.02001,0.95525,-0.22179
0.02001,0.94565,-0.23707
0.02001,0.93985,-0.23985
0.02001,0.94947,0.73322
0.02001,0.95194,-0.21871
0.02001,0.94342,-0.18086
0.02001,0.93835,-0.19794
0.02001,0.95809,-0.15932
0.02001,0.95127,-0.16211
0.02001,0.94355,-0.1542
0.02001,0.94411,-0.15594
0.02001,0.92188,-0.06552
0.02001,0.94232,-0.15533
0.02001,0.93775,-0.15403
0.02001,0.93288,-0.16076
0.02001,0.93792,-0.04042
0.03002,1.0035,0.02751
0.03002,0.97126,-0.42083
0.03002,0.97157,0.22318
0.03002,0.96594,0.01653
0.03002,0.95988,0.03046
0.03002,0.97065,0.00639
0.03002,0.96063,0.0343
0.03002,0.96643,-0.09295
0.03002,0.97294,-0.05133
0.03002,0.93977,0.02025
0.03002,0.94483,-0.03453
0.03002,0.94228,-0.01589
0.03002,0.94068,-0.01425
0.03002,0.93923,-0.01396
0.03002,0.9378,-0.01378
0.03002,0.93637,-0.0137
0.03002,0.93495,-0.01376
0.03002,0.93354,-0.01392
0.03002,0.93211,-0.01398
0.03002,0.93063,-0.01347
0.03002,0.92913,-0.01277
0.04002,1.0035,0.02751
0.04002,0.96254,-0.18348
0.04002,0.95688,0.03976
0.04002,0.95834,-0.0614
0.04002,0.95265,0.05612
