Temp,P,Core,Mflow,Pressurizer,L_Mf
595.7600 ,15750400.0000 ,3.8306 ,14804.0000 ,7.8340 ,-0.2019 
595.7600 ,15750400.0000 ,3.8306 ,14804.0000 ,7.8340 ,-0.1943 
595.7600 ,15750400.0000 ,3.8306 ,14804.0000 ,7.8340 ,-0.1886 
595.7600 ,15750400.0000 ,3.8306 ,14804.0000 ,7.8340 ,-0.1798 
595.7600 ,15750400.0000 ,3.8306 ,14804.0000 ,7.8340 ,-0.1656 
592.2300 ,11290400.0000 ,3.6501 ,13424.0000 ,7.8330 ,-28.6890 
591.4100 ,11152600.0000 ,3.6152 ,13506.0000 ,7.8330 ,-0.4615 
590.3800 ,10971500.0000 ,3.5259 ,12576.0000 ,7.8340 ,-1.5827 
589.2300 ,10774400.0000 ,3.4352 ,11701.0000 ,7.8340 ,-3.0414 
589.3100 ,10966862.0000 ,3.4223 ,12693.8974 ,7.8337 ,-19.9427
586.5331 ,8814720.00000 ,3.3791 ,12077.5840 ,7.8331 ,-12.1380
592.6047 ,11079940.0000 ,3.6202 ,12714.6807 ,7.8339 ,-13.1891
580.7703 ,7177192.50000 ,3.1741 ,11153.4717 ,7.8326 ,-17.9017
