Temp,P,Core,Mflow,Pressurizer,L_Mf
595.7700 ,15750200.0000 ,3.8306 ,14803.0000 ,7.8340 ,-3.1156 
595.7800 ,15750100.0000 ,3.8306 ,14803.0000 ,7.8340 ,-2.8416 
595.7900 ,15749900.0000 ,3.8306 ,14802.0000 ,7.8340 ,-2.8908 
595.8000 ,15749900.0000 ,3.8306 ,14802.0000 ,7.8340 ,-3.3193 
595.8000 ,15749900.0000 ,3.8306 ,14802.0000 ,7.8340 ,-3.8503 
595.8000 ,15750000.0000 ,3.8306 ,14803.0000 ,7.8340 ,-4.2053 
595.8000 ,15750100.0000 ,3.8306 ,14803.0000 ,7.8340 ,-4.2689 
595.7800 ,15750300.0000 ,3.8306 ,14804.0000 ,7.8340 ,-3.9047 
595.7700 ,15750400.0000 ,3.8306 ,14804.0000 ,7.8340 ,-3.3561 
595.7600 ,15750400.0000 ,3.8306 ,14805.0000 ,7.8340 ,-2.6959 
595.7600 ,15750400.0000 ,3.8306 ,14804.0000 ,7.8340 ,-2.1759 
595.7600 ,15750300.0000 ,3.8306 ,14804.0000 ,7.8340 ,-1.8119 
595.7600 ,15750200.0000 ,3.8306 ,14804.0000 ,7.8340 ,-1.6763 
595.7600 ,15750200.0000 ,3.8306 ,14804.0000 ,7.8340 ,-1.7227 
595.7700 ,15750200.0000 ,3.8306 ,14804.0000 ,7.8340 ,-1.9022 
595.7700 ,15750200.0000 ,3.8306 ,14804.0000 ,7.8340 ,-2.0953 
595.7700 ,15750200.0000 ,3.8306 ,14804.0000 ,7.8340 ,-2.2017 
595.7700 ,15750300.0000 ,3.8306 ,14804.0000 ,7.8340 ,-2.1593 
595.7600 ,15750400.0000 ,3.8306 ,14804.0000 ,7.8340 ,-1.9703 
595.7600 ,15750400.0000 ,3.8306 ,14805.0000 ,7.8340 ,-1.7068 
595.7600 ,15750400.0000 ,3.8306 ,14805.0000 ,7.8340 ,-1.4311 
595.7500 ,15750400.0000 ,3.8306 ,14805.0000 ,7.8340 ,-1.2110 
595.7500 ,15750400.0000 ,3.8306 ,14804.0000 ,7.8340 ,-1.0631 
595.7600 ,15750300.0000 ,3.8306 ,14804.0000 ,7.8340 ,-1.0070 
595.7600 ,15750300.0000 ,3.8306 ,14804.0000 ,7.8340 ,-1.0202 
595.7600 ,15750300.0000 ,3.8306 ,14804.0000 ,7.8340 ,-1.0729 
595.7600 ,15750300.0000 ,3.8306 ,14804.0000 ,7.8340 ,-1.1186 
595.7600 ,15750400.0000 ,3.8306 ,14804.0000 ,7.8340 ,-1.1160 
595.7600 ,15750400.0000 ,3.8306 ,14805.0000 ,7.8340 ,-1.0598 
595.7600 ,15750400.0000 ,3.8306 ,14805.0000 ,7.8340 ,-0.9543 
595.7600 ,15750400.0000 ,3.8306 ,14805.0000 ,7.8340 ,-0.8286 
595.7500 ,15750400.0000 ,3.8306 ,14805.0000 ,7.8340 ,-0.7046 
595.7500 ,15750400.0000 ,3.8306 ,14805.0000 ,7.8340 ,-0.6052 
595.7500 ,15750400.0000 ,3.8306 ,14805.0000 ,7.8340 ,-0.5377 
595.7600 ,15750400.0000 ,3.8306 ,14804.0000 ,7.8340 ,-0.5045 
595.7600 ,15750400.0000 ,3.8306 ,14804.0000 ,7.8340 ,-0.4953 
595.7600 ,15750400.0000 ,3.8306 ,14804.0000 ,7.8340 ,-0.4955 
595.7600 ,15750400.0000 ,3.8306 ,14804.0000 ,7.8340 ,-0.4898 
595.7600 ,15750400.0000 ,3.8306 ,14804.0000 ,7.8340 ,-0.4694 
