Temp,P,Core,Mflow,Pressurizer,L_Mf 
595.76,15750400,3.8306,14804,7.834,-0.1656
585.14,10175600,3.5167,11106,7.834,-11.599
561.49,7295920,2.7544,8030,7.241,-161.51
556.88,6811160,2.4854,5947,7.267,28.62
554.86,6604830,2.4082,4795.6,7.324,11.887
553.45,6464030,2.4638,4247.7,7.328,7.197
552.57,6377430,2.4552,3494.2,7.334,9.9796
552.02,6323010,2.4008,2928.1,7.378,16.07
551.63,6285280,2.379,2516.1,7.439,14.386
551.35,6257800,2.389,2168.2,7.493,11.903
551.15,6238130,2.398,1802,7.538,9.2428
550.98,6221910,2.3854,1468.6,7.572,-1.2057
550.84,6206980,2.289,815.84,7.541,-3.2244
550.75,6197920,2.2572,348.26,7.529,-4.5866
550.69,6191150,2.0797,286.77,7.51,-6.3603
550.32,6155750,2.043,-273.59,7.475,-11.573
550.05,6129130,1.792,-378.77,7.44,-7.6924
549.61,6089720,2.1145,139.05,7.412,-8.8644
548.85,6018110,1.7365,-327.57,7.362,-11.368
548.41,5976610,1.6422,-502.86,7.348,0.4816
547.85,5925500,1.6765,-13.586,7.347,-1.9263
