Temp,P,Core,Mflow,Pressurizer,L_Mf
595.7600 ,15750400.0000 ,3.8306 ,14804.0000 ,7.8340 ,-0.2019 
595.7600 ,15750400.0000 ,3.8306 ,14804.0000 ,7.8340 ,-0.1943 
595.7600 ,15750400.0000 ,3.8306 ,14804.0000 ,7.8340 ,-0.1886 
595.7600 ,15750400.0000 ,3.8306 ,14804.0000 ,7.8340 ,-0.1798 
595.7600 ,15750400.0000 ,3.8306 ,14804.0000 ,7.8340 ,-0.1656 
592.2300 ,11290400.0000 ,3.6501 ,13424.0000 ,7.8330 ,-28.6890 
591.4100 ,11152600.0000 ,3.6152 ,13506.0000 ,7.8330 ,-0.4615 
590.3800 ,10971500.0000 ,3.5259 ,12576.0000 ,7.8340 ,-1.5827 
589.2300 ,10774400.0000 ,3.4352 ,11701.0000 ,7.8340 ,-3.0414 
585.1400 ,10175600.0000 ,3.5167 ,11106.0000 ,7.8340 ,-11.5990 
579.7900 ,9445320.0000 ,3.5148 ,10511.0000 ,7.8320 ,-36.8830 
574.4100 ,8753400.0000 ,3.3269 ,7771.3000 ,7.7760 ,-159.3500 
568.0300 ,8002000.0000 ,2.4469 ,4124.8000 ,7.6080 ,-285.5200 
564.0400 ,7569210.0000 ,2.6869 ,8154.6000 ,7.3970 ,-291.5800 
561.4900 ,7295570.0000 ,2.7561 ,8035.9000 ,7.2410 ,-161.5600 
559.8900 ,7127190.0000 ,2.6921 ,7658.9000 ,7.1870 ,13.4060 
558.8500 ,7018060.0000 ,2.5861 ,6983.6000 ,7.1980 ,43.5380 
558.0200 ,6930410.0000 ,2.5257 ,6594.8000 ,7.2200 ,39.3610 
557.3800 ,6863490.0000 ,2.4996 ,6284.5000 ,7.2440 ,34.0410 
556.8500 ,6808310.0000 ,2.4924 ,5940.2000 ,7.2660 ,28.4360 
556.3900 ,6760380.0000 ,2.4849 ,5598.1000 ,7.2850 ,24.0100 
555.9600 ,6716970.0000 ,2.4737 ,5314.4000 ,7.3000 ,19.5550 
555.5600 ,6676030.0000 ,2.4559 ,5104.6000 ,7.3100 ,15.8180 
555.1800 ,6637740.0000 ,2.4342 ,4931.4000 ,7.3170 ,13.4180 
554.8300 ,6601740.0000 ,2.4180 ,4795.8000 ,7.3220 ,11.8160 
